Zip,City,State,Latitude,Longitude,Timezone,Daylight savings time flag,geopoint
30002,Avondale Estates,GA,33.772122,-84.26491,-5,1,33.772122
30003,Norcross,GA,33.960353,-84.037859,-5,1,33.960353
30004,Alpharetta,GA,34.119177,-84.30292,-5,1,34.119177
30005,Alpharetta,GA,34.080035,-84.21929,-5,1,34.080035
30006,Marietta,GA,33.912473,-84.557181,-5,1,33.912473
30007,Marietta,GA,33.912473,-84.557181,-5,1,33.912473
30008,Marietta,GA,33.907336,-84.5788,-5,1,33.907336
30009,Alpharetta,GA,33.844371,-84.47405,-5,1,33.844371
30010,Norcross,GA,33.960353,-84.037859,-5,1,33.960353
30011,Auburn,GA,34.022974,-83.83416,-5,1,34.022974
30012,Conyers,GA,33.696714,-84.01732,-5,1,33.696714
30013,Conyers,GA,33.633685,-83.98382,-5,1,33.633685
30014,Covington,GA,33.581406,-83.851,-5,1,33.581406
30015,Covington,GA,33.555791,-83.864915,-5,1,33.555791
30016,Covington,GA,33.542118,-83.93372,-5,1,33.542118
30017,Grayson,GA,33.888829,-83.96848,-5,1,33.888829
30018,Jersey,GA,33.717989,-83.801451,-5,1,33.717989
30019,Dacula,GA,33.981721,-83.88302,-5,1,33.981721
30021,Clarkston,GA,33.809604,-84.2387,-5,1,33.809604
30022,Alpharetta,GA,34.026238,-84.24506,-5,1,34.026238
30023,Alpharetta,GA,33.844371,-84.47405,-5,1,33.844371
30024,Suwanee,GA,34.052698,-84.07485,-5,1,34.052698
30025,Social Circle,GA,33.65072,-83.70779,-5,1,33.65072
30026,Duluth,GA,33.962979,-84.092267,-5,1,33.962979
30028,Cumming,GA,34.193041,-84.092588,-5,1,34.193041
30029,Duluth,GA,33.960353,-84.037859,-5,1,33.960353
30030,Decatur,GA,33.771705,-84.29407,-5,1,33.771705
30031,Decatur,GA,33.891251,-84.07456,-5,1,33.891251
30032,Decatur,GA,33.740055,-84.26791,-5,1,33.740055
30033,Decatur,GA,33.811354,-84.28335,-5,1,33.811354
30034,Decatur,GA,33.693448,-84.24743,-5,1,33.693448
30035,Decatur,GA,33.725739,-84.21114,-5,1,33.725739
30036,Decatur,GA,33.891251,-84.07456,-5,1,33.891251
30037,Decatur,GA,33.891251,-84.07456,-5,1,33.891251
30038,Lithonia,GA,33.676358,-84.15381,-5,1,33.676358
30039,Snellville,GA,33.822204,-84.03707,-5,1,33.822204
30040,Cumming,GA,34.235408,-84.17441,-5,1,34.235408
30041,Cumming,GA,34.201503,-84.09764,-5,1,34.201503
30042,Lawrenceville,GA,33.929464,-84.103226,-5,1,33.929464
30043,Lawrenceville,GA,34.001159,-84.01487,-5,1,34.001159
30044,Lawrenceville,GA,33.91967,-84.07482,-5,1,33.91967
30045,Lawrenceville,GA,33.949054,-83.98565,-5,1,33.949054
30046,Lawrenceville,GA,33.960353,-84.037859,-5,1,33.960353
30047,Lilburn,GA,33.872371,-84.11655,-5,1,33.872371
30048,Lilburn,GA,33.960353,-84.037859,-5,1,33.960353
30052,Loganville,GA,33.823809,-83.89423,-5,1,33.823809
30054,Oxford,GA,33.658113,-83.86249,-5,1,33.658113
30055,Mansfield,GA,33.504952,-83.74735,-5,1,33.504952
30056,Newborn,GA,33.500008,-83.67165,-5,1,33.500008
30058,Lithonia,GA,33.750257,-84.0964,-5,1,33.750257
30060,Marietta,GA,33.932052,-84.54746,-5,1,33.932052
30061,Marietta,GA,33.932842,-84.556004,-5,1,33.932842
30062,Marietta,GA,33.99605,-84.47464,-5,1,33.99605
30063,Marietta,GA,33.965294,-84.511209,-5,1,33.965294
30064,Marietta,GA,33.946735,-84.602,-5,1,33.946735
30065,Marietta,GA,33.912473,-84.557181,-5,1,33.912473
30066,Marietta,GA,34.027533,-84.51475,-5,1,34.027533
30067,Marietta,GA,33.933002,-84.47633,-5,1,33.933002
30068,Marietta,GA,33.965601,-84.4433,-5,1,33.965601
30069,Marietta,GA,33.912473,-84.557181,-5,1,33.912473
30070,Porterdale,GA,33.576043,-83.89821,-5,1,33.576043
30071,Norcross,GA,33.940768,-84.2062,-5,1,33.940768
30072,Pine Lake,GA,33.791505,-84.20642,-5,1,33.791505
30074,Redan,GA,33.891251,-84.07456,-5,1,33.891251
30075,Roswell,GA,34.049789,-84.38539,-5,1,34.049789
30076,Roswell,GA,34.032532,-84.31774,-5,1,34.032532
30077,Roswell,GA,33.844371,-84.47405,-5,1,33.844371
30078,Snellville,GA,33.860955,-84.01807,-5,1,33.860955
30079,Scottdale,GA,33.791537,-84.25994,-5,1,33.791537
30080,Smyrna,GA,33.87578,-84.50382,-5,1,33.87578
30081,Smyrna,GA,33.858836,-84.71062,-5,1,33.858836
30082,Smyrna,GA,33.859137,-84.53744,-5,1,33.859137
30083,Stone Mountain,GA,33.795622,-84.19771,-5,1,33.795622
30084,Tucker,GA,33.853853,-84.22036,-5,1,33.853853
30085,Tucker,GA,33.891251,-84.07456,-5,1,33.891251
30086,Stone Mountain,GA,33.891251,-84.07456,-5,1,33.891251
30087,Stone Mountain,GA,33.817438,-84.13167,-5,1,33.817438
30088,Stone Mountain,GA,33.762106,-84.17938,-5,1,33.762106
30090,Marietta,GA,33.952451,-84.547082,-5,1,33.952451
30091,Norcross,GA,33.960353,-84.037859,-5,1,33.960353
30092,Norcross,GA,33.9692,-84.23261,-5,1,33.9692
30093,Norcross,GA,33.909952,-84.1794,-5,1,33.909952
30094,Conyers,GA,33.621906,-84.04633,-5,1,33.621906
30095,Duluth,GA,34.025598,-84.13045,-5,1,34.025598
30096,Duluth,GA,33.979401,-84.15118,-5,1,33.979401
30097,Duluth,GA,34.020621,-84.14294,-5,1,34.020621
30098,Duluth,GA,33.960353,-84.037859,-5,1,33.960353
30099,Duluth,GA,33.959535,-84.105011,-5,1,33.959535
30101,Acworth,GA,34.052285,-84.68483,-5,1,34.052285
30102,Acworth,GA,34.097998,-84.6183,-5,1,34.097998
30103,Adairsville,GA,34.368647,-84.92452,-5,1,34.368647
30104,Aragon,GA,34.065792,-85.07227,-5,1,34.065792
30105,Armuchee,GA,34.448075,-85.15313,-5,1,34.448075
30106,Austell,GA,33.828061,-84.62593,-5,1,33.828061
30107,Ball Ground,GA,34.344939,-84.37204,-5,1,34.344939
30108,Bowdon,GA,33.533934,-85.26088,-5,1,33.533934
30109,Bowdon Junction,GA,33.653355,-85.136227,-5,1,33.653355
30110,Bremen,GA,33.723939,-85.14282,-5,1,33.723939
30111,Clarkdale,GA,33.912473,-84.557181,-5,1,33.912473
30113,Buchanan,GA,33.84627,-85.20291,-5,1,33.84627
30114,Canton,GA,34.228478,-84.50402,-5,1,34.228478
30115,Canton,GA,34.194029,-84.43884,-5,1,34.194029
30116,Carrollton,GA,33.560454,-85.02254,-5,1,33.560454
30117,Carrollton,GA,33.588486,-85.1062,-5,1,33.588486
30118,Carrollton,GA,33.571176,-85.09612,-5,1,33.571176
30119,Carrollton,GA,33.618931,-85.073582,-5,1,33.618931
30120,Cartersville,GA,34.167327,-84.82764,-5,1,34.167327
30121,Cartersville,GA,34.200264,-84.77533,-5,1,34.200264
30122,Lithia Springs,GA,33.776137,-84.64484,-5,1,33.776137
30123,Cassville,GA,34.244179,-84.845684,-5,1,34.244179
30124,Cave Spring,GA,34.118206,-85.34001,-5,1,34.118206
30125,Cedartown,GA,34.010162,-85.25762,-5,1,34.010162
30126,Mableton,GA,33.817738,-84.56087,-5,1,33.817738
30127,Powder Springs,GA,33.874553,-84.68784,-5,1,33.874553
30129,Coosa,GA,34.333308,-85.233721,-5,1,34.333308
30132,Dallas,GA,33.945735,-84.84463,-5,1,33.945735
30133,Douglasville,GA,33.68966,-84.744595,-5,1,33.68966
30134,Douglasville,GA,33.769636,-84.74967,-5,1,33.769636
30135,Douglasville,GA,33.701554,-84.73756,-5,1,33.701554
30137,Emerson,GA,34.124283,-84.75579,-5,1,34.124283
30138,Esom Hill,GA,33.99994,-85.172297,-5,1,33.99994
30139,Fairmount,GA,34.434629,-84.70133,-5,1,34.434629
30140,Felton,GA,33.88232,-85.234946,-5,1,33.88232
30141,Hiram,GA,33.867574,-84.77103,-5,1,33.867574
30142,Holly Springs,GA,34.242944,-84.458326,-5,1,34.242944
30143,Jasper,GA,34.454934,-84.41583,-5,1,34.454934
30144,Kennesaw,GA,34.038949,-84.59706,-5,1,34.038949
30145,Kingston,GA,34.237986,-84.97801,-5,1,34.237986
30146,Lebanon,GA,34.242944,-84.458326,-5,1,34.242944
30147,Lindale,GA,34.175095,-85.18084,-5,1,34.175095
30148,Marble Hill,GA,34.452988,-84.25925,-5,1,34.452988
30149,Mount Berry,GA,34.280355,-85.182085,-5,1,34.280355
30150,Mount Zion,GA,33.643002,-85.181782,-5,1,33.643002
30151,Nelson,GA,34.242944,-84.458326,-5,1,34.242944
30152,Kennesaw,GA,34.002147,-84.63392,-5,1,34.002147
30153,Rockmart,GA,33.987497,-85.05508,-5,1,33.987497
30154,Douglasville,GA,33.68966,-84.744595,-5,1,33.68966
30157,Dallas,GA,33.892504,-84.8346,-5,1,33.892504
30161,Rome,GA,34.253343,-85.15312,-5,1,34.253343
30162,Rome,GA,34.290508,-85.213817,-5,1,34.290508
30163,Rome,GA,34.333308,-85.233721,-5,1,34.333308
30164,Rome,GA,34.333308,-85.233721,-5,1,34.333308
30165,Rome,GA,34.281423,-85.23825,-5,1,34.281423
30166,Carrollton,GA,33.571329,-85.030663,-5,1,33.571329
30168,Austell,GA,33.797456,-84.60621,-5,1,33.797456
30170,Roopville,GA,33.434562,-85.16973,-5,1,33.434562
30171,Rydal,GA,34.346142,-84.73232,-5,1,34.346142
30172,Shannon,GA,34.333308,-85.233721,-5,1,34.333308
30173,Silver Creek,GA,34.145931,-85.14342,-5,1,34.145931
30175,Talking Rock,GA,34.537611,-84.51135,-5,1,34.537611
30176,Tallapoosa,GA,33.748838,-85.29304,-5,1,33.748838
30177,Tate,GA,34.418116,-84.38462,-5,1,34.418116
30178,Taylorsville,GA,34.113826,-84.97274,-5,1,34.113826
30179,Temple,GA,33.76324,-85.02667,-5,1,33.76324
30180,Villa Rica,GA,33.718079,-84.92356,-5,1,33.718079
30182,Waco,GA,33.658254,-85.23497,-5,1,33.658254
30183,Waleska,GA,34.332315,-84.577,-5,1,34.332315
30184,White,GA,34.236128,-84.72539,-5,1,34.236128
30185,Whitesburg,GA,33.517698,-84.91725,-5,1,33.517698
30187,Winston,GA,33.670405,-84.83809,-5,1,33.670405
30188,Woodstock,GA,34.108027,-84.4843,-5,1,34.108027
30189,Woodstock,GA,34.117565,-84.57176,-5,1,34.117565
30202,Alpharetta,GA,34.062176,-84.240414,-5,1,34.062176
30203,Brooks,GA,33.288993,-84.464401,-5,1,33.288993
30204,Barnesville,GA,33.05413,-84.14862,-5,1,33.05413
30205,Brooks,GA,33.275707,-84.46706,-5,1,33.275707
30206,Concord,GA,33.109599,-84.45541,-5,1,33.109599
30212,Experiment,GA,33.278205,-84.288803,-5,1,33.278205
30213,Fairburn,GA,33.565662,-84.59321,-5,1,33.565662
30214,Fayetteville,GA,33.47875,-84.47668,-5,1,33.47875
30215,Fayetteville,GA,33.40147,-84.46271,-5,1,33.40147
30216,Flovilla,GA,33.251174,-83.89284,-5,1,33.251174
30217,Franklin,GA,33.298014,-85.12243,-5,1,33.298014
30218,Gay,GA,33.121379,-84.58776,-5,1,33.121379
30219,Glenn,GA,33.157214,-85.170588,-5,1,33.157214
30220,Grantville,GA,33.230734,-84.82543,-5,1,33.230734
30222,Greenville,GA,33.034761,-84.73593,-5,1,33.034761
30223,Griffin,GA,33.268185,-84.27306,-5,1,33.268185
30224,Griffin,GA,33.215454,-84.25427,-5,1,33.215454
30228,Hampton,GA,33.401827,-84.30152,-5,1,33.401827
30229,Haralson,GA,33.232156,-84.56854,-5,1,33.232156
30230,Hogansville,GA,33.173516,-84.91737,-5,1,33.173516
30232,Inman,GA,33.403811,-84.504403,-5,1,33.403811
30233,Jackson,GA,33.294522,-83.97568,-5,1,33.294522
30234,Jenkinsburg,GA,33.325951,-84.03346,-5,1,33.325951
30236,Jonesboro,GA,33.528345,-84.33347,-5,1,33.528345
30237,Jonesboro,GA,33.500697,-84.351273,-5,1,33.500697
30238,Jonesboro,GA,33.49348,-84.37871,-5,1,33.49348
30240,Lagrange,GA,33.029838,-85.0745,-5,1,33.029838
30241,Lagrange,GA,33.036715,-84.98895,-5,1,33.036715
30248,Locust Grove,GA,33.351277,-84.10645,-5,1,33.351277
30250,Lovejoy,GA,33.437428,-84.31519,-5,1,33.437428
30251,Luthersville,GA,33.201986,-84.69943,-5,1,33.201986
30252,Mcdonough,GA,33.464387,-84.08154,-5,1,33.464387
30253,Mcdonough,GA,33.455031,-84.17215,-5,1,33.455031
30256,Meansville,GA,33.015476,-84.32187,-5,1,33.015476
30257,Milner,GA,33.136567,-84.19386,-5,1,33.136567
30258,Molena,GA,32.999261,-84.47168,-5,1,32.999261
30259,Moreland,GA,33.277468,-84.75388,-5,1,33.277468
30260,Morrow,GA,33.58776,-84.33011,-5,1,33.58776
30261,Lagrange,GA,33.04567,-85.048995,-5,1,33.04567
30263,Newnan,GA,33.38779,-84.82536,-5,1,33.38779
30264,Newnan,GA,33.361003,-84.814173,-5,1,33.361003
30265,Newnan,GA,33.400875,-84.71206,-5,1,33.400875
30266,Orchard Hill,GA,33.265656,-84.298964,-5,1,33.265656
30268,Palmetto,GA,33.527793,-84.69453,-5,1,33.527793
30269,Peachtree City,GA,33.398992,-84.57062,-5,1,33.398992
30271,Newnan,GA,33.351401,-84.756109,-5,1,33.351401
30272,Red Oak,GA,33.625894,-84.516327,-5,1,33.625894
30273,Rex,GA,33.582877,-84.26906,-5,1,33.582877
30274,Riverdale,GA,33.555145,-84.40108,-5,1,33.555145
30275,Sargent,GA,33.431181,-84.86733,-5,1,33.431181
30276,Senoia,GA,33.281102,-84.58017,-5,1,33.281102
30277,Sharpsburg,GA,33.387534,-84.65511,-5,1,33.387534
30281,Stockbridge,GA,33.547578,-84.21809,-5,1,33.547578
30283,Jackson,GA,33.295159,-83.965099,-5,1,33.295159
30284,Sunny Side,GA,33.345253,-84.289814,-5,1,33.345253
30285,The Rock,GA,32.995865,-84.25092,-5,1,32.995865
30286,Thomaston,GA,32.895794,-84.33084,-5,1,32.895794
30287,Morrow,GA,33.500697,-84.351273,-5,1,33.500697
30288,Conley,GA,33.647275,-84.32753,-5,1,33.647275
30289,Turin,GA,33.32603,-84.637108,-5,1,33.32603
30290,Tyrone,GA,33.48012,-84.58724,-5,1,33.48012
30291,Union City,GA,33.580878,-84.54611,-5,1,33.580878
30292,Williamson,GA,33.169646,-84.37168,-5,1,33.169646
30293,Woodbury,GA,32.973728,-84.5903,-5,1,32.973728
30294,Ellenwood,GA,33.639658,-84.26822,-5,1,33.639658
30295,Zebulon,GA,33.101705,-84.31252,-5,1,33.101705
30296,Riverdale,GA,33.564711,-84.43987,-5,1,33.564711
30297,Forest Park,GA,33.615409,-84.36704,-5,1,33.615409
30298,Forest Park,GA,33.500697,-84.351273,-5,1,33.500697
30301,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30302,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30303,Atlanta,GA,33.752856,-84.39013,-5,1,33.752856
30304,Atlanta,GA,33.848196,-84.429296,-5,1,33.848196
30305,Atlanta,GA,33.830054,-84.38472,-5,1,33.830054
30306,Atlanta,GA,33.786755,-84.35149,-5,1,33.786755
30307,Atlanta,GA,33.768205,-84.33786,-5,1,33.768205
30308,Atlanta,GA,33.771755,-84.38065,-5,1,33.771755
30309,Atlanta,GA,33.794055,-84.38525,-5,1,33.794055
30310,Atlanta,GA,33.727807,-84.41983,-5,1,33.727807
30311,Atlanta,GA,33.724907,-84.47131,-5,1,33.724907
30312,Atlanta,GA,33.745739,-84.3764,-5,1,33.745739
30313,Atlanta,GA,33.761223,-84.39599,-5,1,33.761223
30314,Atlanta,GA,33.758056,-84.42268,-5,1,33.758056
30315,Atlanta,GA,33.709595,-84.38365,-5,1,33.709595
30316,Atlanta,GA,33.729506,-84.34087,-5,1,33.729506
30317,Atlanta,GA,33.750005,-84.31854,-5,1,33.750005
30318,Atlanta,GA,33.786805,-84.437,-5,1,33.786805
30319,Atlanta,GA,33.872053,-84.33611,-5,1,33.872053
30320,Atlanta,GA,33.656824,-84.423648,-5,1,33.656824
30321,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30322,Atlanta,GA,33.793754,-84.3238,-5,1,33.793754
30323,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30324,Atlanta,GA,33.818304,-84.35779,-5,1,33.818304
30325,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30326,Atlanta,GA,33.849853,-84.3606,-5,1,33.849853
30327,Atlanta,GA,33.86427,-84.41972,-5,1,33.86427
30328,Atlanta,GA,33.931746,-84.37817,-5,1,33.931746
30329,Atlanta,GA,33.827554,-84.32355,-5,1,33.827554
30330,Atlanta,GA,33.707107,-84.432127,-5,1,33.707107
30331,Atlanta,GA,33.715558,-84.52728,-5,1,33.715558
30332,Atlanta,GA,33.776305,-84.397976,-5,1,33.776305
30333,Atlanta,GA,33.891251,-84.07456,-5,1,33.891251
30334,Atlanta,GA,33.702657,-84.439127,-5,1,33.702657
30335,Atlanta,GA,33.752406,-84.389676,-5,1,33.752406
30336,Atlanta,GA,33.744007,-84.56032,-5,1,33.744007
30337,Atlanta,GA,33.646984,-84.4538,-5,1,33.646984
30338,Atlanta,GA,33.942751,-84.31769,-5,1,33.942751
30339,Atlanta,GA,33.87507,-84.46615,-5,1,33.87507
30340,Atlanta,GA,33.899381,-84.25367,-5,1,33.899381
30341,Atlanta,GA,33.888102,-84.29321,-5,1,33.888102
30342,Atlanta,GA,33.879003,-84.37203,-5,1,33.879003
30343,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30344,Atlanta,GA,33.676258,-84.44977,-5,1,33.676258
30345,Atlanta,GA,33.851736,-84.28412,-5,1,33.851736
30346,Atlanta,GA,33.926753,-84.33877,-5,1,33.926753
30347,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30348,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30349,Atlanta,GA,33.61541,-84.49033,-5,1,33.61541
30350,Atlanta,GA,33.97285,-84.32775,-5,1,33.97285
30351,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30353,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30354,Atlanta,GA,33.658834,-84.39682,-5,1,33.658834
30355,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30356,Atlanta,GA,33.891251,-84.07456,-5,1,33.891251
30357,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30358,Atlanta,GA,33.998151,-84.34112,-5,1,33.998151
30359,Atlanta,GA,33.891251,-84.07456,-5,1,33.891251
30360,Atlanta,GA,33.934536,-84.27215,-5,1,33.934536
30361,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30362,Atlanta,GA,33.891251,-84.07456,-5,1,33.891251
30363,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30364,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30365,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30366,Atlanta,GA,33.891251,-84.07456,-5,1,33.891251
30367,Atlanta,GA,33.789255,-84.387276,-5,1,33.789255
30368,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30369,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30370,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30371,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30374,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30375,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30376,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30377,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30378,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30379,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30380,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30381,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30384,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30385,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30386,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30387,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30388,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30389,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30390,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30392,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30394,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30396,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30398,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30399,Atlanta,GA,33.844371,-84.47405,-5,1,33.844371
30401,Swainsboro,GA,32.605196,-82.3391,-5,1,32.605196
30410,Ailey,GA,32.196136,-82.50985,-5,1,32.196136
30411,Alamo,GA,32.146031,-82.792,-5,1,32.146031
30412,Alston,GA,32.083879,-82.47988,-5,1,32.083879
30413,Bartow,GA,32.884137,-82.50969,-5,1,32.884137
30414,Bellville,GA,32.15499,-81.97826,-5,1,32.15499
30415,Brooklet,GA,32.3456,-81.62339,-5,1,32.3456
30417,Claxton,GA,32.162077,-81.90984,-5,1,32.162077
30420,Cobbtown,GA,32.301639,-82.11842,-5,1,32.301639
